Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CAMP","Cathelicidin Antimicrobial Peptide","Protein Coding","P49913","53","GC03P063171","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP"
"IL33","Interleukin 33","Protein Coding","O95760","53","GC09P010219","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL33"
"MAVS","Mitochondrial Antiviral Signaling Protein","Protein Coding","Q7Z434","53","GC20P010257","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAVS"
"CTF1","Cardiotrophin 1","Protein Coding","Q16619","52","GC16P113186","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTF1"
"CNOT2","CCR4-NOT Transcription Complex Subunit 2","Protein Coding","Q9NZN8","51","GC12P072478","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT2"
"MLLT3","MLLT3 Super Elongation Complex Subunit","Protein Coding","P42568","51","GC09M020341","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT3"
"OTUB1","OTU Deubiquitinase, Ubiquitin Aldehyde Binding 1","Protein Coding","Q96FW1","51","GC11P063985","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUB1"
"GPIHBP1","Glycosylphosphatidylinositol Anchored High Density Lipoprotein Binding Protein 1","Protein Coding","Q8IV16","49","GC08P143213","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPIHBP1"
"MID1IP1","MID1 Interacting Protein 1","Protein Coding","Q9NPA3","49","GC0XP038802","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MID1IP1"
"TNIP2","TNFAIP3 Interacting Protein 2","Protein Coding","Q8NFZ5","49","GC04M002741","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNIP2"
"UCN","Urocortin","Protein Coding","P55089","48","GC02M027308","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN"
"BUD13","BUD13 Homolog","Protein Coding","Q9BRD0","46","GC11M137382","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD13"
"RLN2","Relaxin 2","Protein Coding","P04090","46","GC09M005829","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLN2"
"IGHE","Immunoglobulin Heavy Constant Epsilon","Protein Coding","P01854","42","GC14M123367","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE"
"USP35","Ubiquitin Specific Peptidase 35","Protein Coding","Q9P2H5","40","GC11P078188","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP35"
"MIR30C1","MicroRNA 30c-1","RNA Gene","","29","GC01P040757","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30C1"
"MIR451A","MicroRNA 451a","RNA Gene","","25","GC17M028861","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"MIR30C2","MicroRNA 30c-2","RNA Gene","","24","GC06M103830","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30C2"
"LINC00857","Long Intergenic Non-Protein Coding RNA 857","RNA Gene","","21","GC10P119967","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00857"
"UGT1A","UDP Glucuronosyltransferase Family 1 Member A Complex Locus","Uncategorized","","21","GC02P234634","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A"
"TRC-GCA24-1","TRNA-Cys (GCA) 24-1","RNA Gene","","14","GC17M093302","0.160469904541969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRC-GCA24-1"
